day,time,type,title,abstract,author,affiliation,slides,youtube
1,8:15 AM,coffee-session,Package Management,,Devin Pastoor,Metrum Research Group,,
1,8:15 AM,coffee-session,R Education in Pharma,,Paulo Bargo // Satish Murthy,Janssen // Janssen,,
1,8:15 AM,coffee-session,R and Python Interoperability,,Sean Lopp,RStudio,,
1,8:45 AM,break,Break,,,,,
1,9:00 AM,opening-remarks,Opening Remarks,,Merce Crosas,Harvard University,https://github.com/rinpharma/rinpharma2019program/tree/master/talks_folder/2019-Crosas-Opening_Remarks_Day_1.pdf,
1,9:15 AM,keynote,Reproducibility and the role of code in reproducible data science,,Garrett Grolemund,RStudio,,
1,10:00 AM,talk,Using R for Generic Drug Evaluation and SABE R-package for Assessing Bioequivalence of Topical Dermatological Products,"Determination of bioequivalence (BE), a crucial part of the evaluation of generic drugs, may depend on clinical endpoint studies, pharmacokinetic (PK) studies of bioavailability, and In-Vitro tests, among others. Additionally, in reviewing Abbreviated New Drug Applications (ANDA), FDA reviewers often analyze safety studies and perform various kinds of simulations. A growing, vibrant group of statisticians in the Office of Biostatistics, CDER/FDA has adopted R for both their routine tasks and to address numerous scientific questions that are received in the form of internal consults. During the past 5 years, we have used R to run power simulations; generate the distribution of certain statistics of interest; assess the similarity of and cluster amino-acid sequences as well as, derive the distribution of the molecular weight of such sequences of a certain length; and determine the validity of data sets categorized for genotoxicity. R-package SABE was developed to accompany a new statistical test, used to assess BE of topical dermatological products when data for evaluation come from the In-Vitro Permeation Test (IVPT) [1]. BE tests consider comparisons between a Test (usually generic) and a Reference (RLD) product under a replicate study design. A function that assesses BE of a Test and a Reference formulation uses a mixed scaled criterion for the PK metrics AUC (Area Under the Curve) and Cmax (maximum concentration).",Elena Rantou,FDA,https://github.com/rinpharma/rinpharma2019program/tree/master/talks_folder/2019-Rantou-Generic_Drug_Evaluation_Bioequivalence_Topical_Dermatological_Products.pdf,
1,10:20 AM,talk,"How to win friends and influence people: Efficiency, Reproducibility, and Scalability with R Project templates and parameterized R Markdown","Our bioinformatics team is relied upon to quickly generate information to drive business decisions, allocate resources, and develop predictive models. As such, we constantly strive to streamline our work and create efficiencies when possible. To this end, we have developed a set of tools utilizing R packages, project templates, and parameterized R Markdown reports that enables a semi-automated, standardized modeling work flow. These tools have largely increased our output in generating informative metrics, improved our ability to reproduce our results, and empowered us to scale our team in a way that supports our company goals.",Leigh Alexander,SomaLogic,,
1,10:30 AM,talk,Teaching an old dog new tricks: modernizing gsDesign,"The gsDesign package for group sequential design is widely used with >30k downloads. The package was originally written in 2007 with substantial documentation and Runit testing created before 2010. A Shiny interface was created to make the package more approachable in about 2015. Recent efforts have focused on updating package to use Roxygen2, pkgdown, covr/covrpage and testthat as well as changing vignettes from Sweave to R Markdown. The learning curve for this modernization will be discussed as well as usage in a regulated environment.",Keaven Anderson,Merck,https://github.com/rinpharma/rinpharma2019program/tree/master/talks_folder/2019-Anderson-Modernizing_gsDesign.pptx,
1,10:50 AM,break,Break,,,,,
