day,time,type,title,abstract,author,affiliation,slides,youtube
1,Oct 5 <br /> 9:00 AM,workshop,Artificial Neural Networks in R with Keras and TensorFlow,"This workshop is introductory and open to everyone assuming basic R/Data Science skills. Please note, the workshop is very hands-on oriented, so expect to get your fingers dirty! The aim will be an introduction to ANNs in R. ANNs form the basic unit of deep learning and are immensely powerful in predictive modelling, but not without pitfalls. In this workshop, we will be working with conceptually understanding what an ANN is, how we train an ANN and how predictions are subsequently made. We will also touch upon parameters, hyper-parameters and how to handle data all in context of model over-fitting. All of the aforementioned will be done using TensorFlow via Keras for R.",Leon Eyrich Jessen,Technical University of Denmark,https://github.com/leonjessen/RPharma2020,
1,Oct 5 <br /> 2:00 PM,workshop,Multilingual Markdown with R and Python Using Reticulate,"We will be presenting an overview of the interoperability between Python and R for the R user community at R/Pharma 2020. This workshop will highlight how statistical programmers can leverage the power of both R and Python in their daily processes. Participants will get hands on experience working with some of the best aspects of both R and Python, and how these two languages can work together within R Markdown.",Mike Stackhouse // Nathan Kosiba,Atorus // Atorus,https://github.com/atorus-research/MultilingualMarkdown,https://www.youtube.com/watch?v=fEoZynvUrkc
1,Oct 6 <br /> 8:00 AM,workshop,Tidy Transcriptomics,"In this workshop we will present how to perform analysis of RNA sequencing data following the tidy data paradigm. The tidy data paradigm provides a standard way to organise data values within a dataset, where each variable is a column, each observation is a row, and data is manipulated using an easy-to-understand vocabulary. Most importantly, the data structure remains consistent across manipulation and analysis functions. We can achieve this for bulk RNA sequencing data with the tidybulk, tidyHeatmap and tidyverse packages. We will also touch on packages for tidy single-cell transcriptional analyses. These packages are part of the tidytranscriptomics suite that introduces a tidy approach to RNA sequencing data.
Recommended pre-requisites-  Basic knowledge of RStudio-  Some familiarity with tidyverse syntax-  Background Reading Introduction to R for Biologists",Stefano Mangiola // Maria Doyle,Walter and Eliza Hall of Medical Research // Peter MacCallum Cancer Center,https://github.com/stemangiola/rpharma2020_tidytranscriptomics/,
1,Oct 6 <br /> 12:00 PM,workshop,Implementing a Risk-based Approach to R Validation,"In this workshop we will walk through an implementation of the R Validation Hub's white paper: A Risk-based Approach for Assessing R Package Accuracy within a Validated Infrastructure (https://www.pharmar.org/white-paper/). The workshop will explore two core themes:
1. R Packages Risk Assessment2. TestingIn part 1, we will use a small set of pre-selected R packages to see how the R Validation Hub's Risk Assessment Application and the riskmetric R package can be used to create risk assessment reports for an R package.In part 2, we will discuss how testing can be used to reduce the risk for those packages with high risk. In particular, we will discuss the testing philosphy with respect to software validation and demonstrate how the 'testthat' package can be used to perform the necessary steps to test traceability requirements.Prior knowledge of the basic structure of R packages is required for the second part of this workshop.",Andy Nicholls // Marly Gotti,Glaxosmithkline // Biogen,https://pharmar.github.io/rpharma2020/,https://www.youtube.com/watch?v=9AiJSEZAz4g
1,Oct 7 <br /> 8:00 AM,workshop,RMarkdown,"A four-hour workshop that will take you on a tour of how to get from data to manuscript using R Markdown. You'll learn:
-  The basics of Markdown and knitr-  How to add tables for different outputs-  Workflows for working with data-  How to include and style graphics",Alison Hill // Tom Mock,RStudio // RStudio,https://rmd4pharma.netlify.app/,
1,Oct 7 <br /> 1:00 PM,workshop,Stan,"This is a 3-hour workshop on Stan (https://mc-stan.org). The overall goal of the workshop will be to make the best use of time to answer as many Stan-related questions as possible. The level of the workshop will be intermediate to advanced, but anyone is welcome to join.
The workshop will be taught by Daniel Lee. Daniel is one of the original Stan developers (started in 2011). He's been involved in the whole stack: language, CmdStan, RStan, PyStan, continuous integration, setting up the forums, StanCon, and more. He's had a lot of experience with debugging computational issues, the crossover between statistical models and computational, understanding how all the pieces fit in together, and knowing a lot of different ways to accomplish the same thing in the Stan language.The format of this workshop won't be a straight online lecture. I'm personally tired of Zoom meetings; I don't think the intro course I teach works in this format. Instead, we'll have a blend of an instructor-led example, a masterclass, and an AMA. Please come with questions or ask them as we go along. Here's a rough plan (but we can deviate from this):1. Brief introduction to Stan. Goal: understand what Stan is, what the inferences are (and why they're different), and agree on terminology.2. Walkthrough an example (survival or PK/PD model). Show differences between posterior distributions and point estimates. Maybe discuss quality of MCMC sampling.3. One-on-one with a participant. Walk through their problem, attempt at a solution, walk through the different modeling choices we're making, how to structure simulated data, etc.4. One-on-one with another participant.5. Questions / Wrap up.",Daniel Lee,Generable,,
1,Oct 8 <br /> 8:00 AM,workshop,targets / Reproducible Pipelines,"Data science can be slow. A single round of statistical computation can take several minutes, hours, or even days to complete. The targets R package keeps results up to date and reproducible while minimizing the number of expensive tasks that actually run. Targets learns how your pipeline fits together, skips costly runtime for steps that are already up to date, runs the rest with optional implicit parallel computing, abstracts files as R objects, and shows tangible evidence that the output matches the underlying code and data. In other words, the package saves time while increasing our ability to trust the conclusions of the research. Targets surpasses the most burdensome permanent limitations of its predecessor, drake, to achieve greater efficiency and provide a safer, smoother, friendlier user experience. This hands-on workshop teaches targets using a realistic case study. Participants begin with the R implementation of a machine learning project, convert the workflow into a targets-powered pipeline, and efficiently maintain the output as the code and data change.
R proficiency: intermediate and above required.",Will Landau,Eli Lilly,https://wlandau.github.io/rpharma2020/,
1,Oct 8 <br /> 1:00 PM,workshop,gt,,Rich Iannone,RStudio,https://github.com/rich-iannone/gt-workshop-2020,
1,Oct 9 <br /> 8:00 AM,workshop,Unleash Shiny,"In recent years, R users' understanding of Shiny has greatly increased but so have client expectations. While one of Shiny's greatest strengths is that it allows producing web applications solely from R code, meeting client's more delicate expectations will often involve going beyond R code and work with HTML, CSS, and JavaScript.
We recognize that R developers tend not to be familiar with the latter as they generally do not have significant background in web development, these may therefore appear daunting at first.This workshop aims to put attendees at ease with inviting those web technologies into their shiny applications so they can exceed client's expectations. The workshop will comprise three parts.Part 1 hones in on the development of a new template on top of Shiny with the {htmltools} package. Workshop attendees will have the opportunity to collaborate with the RinteRface team on the {shinybulma} project (https://github.com/RinteRface/shinybulma).Part 2 delves into bi-directional communication in Shiny: how the R server communicates with the front-end and vice versa, how the input/output system works.Part 3 ends the workshop by exposing all the less known functions/methods that are however likely to help you in your Shiny journey!Prerequisites for the workshop:-  Be proficient with Shiny-  Basic knowledge about R6-  Be proficient with package development-  JavaScript/CSS skills may help but are not mandatory",David Granjon // John Coene,Novartis // World Economic Forum,https://rinterface.com/shiny/talks/RPharma2020/,
1,Oct 9 <br /> 11:00 AM,workshop,"A PK & PBPK Modelling Workflow in R: Simulation, Optimization & Visualization","After a brief introduction to mrgsolve (https://mrgsolve.github.io), we will discuss concepts and applications for using the package in R to simulate from pharmacokinetic (PK) and physiologically-based PK (PBPK) models, estimate parameters given a model and data, and visualize simulation results with a Shiny app. We will establish a basic framework for running optimization in R and work hands-on examples using different optimizers, including local and global search algorithms. Building on this framework, we will also illustrate related workflows including global and local sensitivity analysis. Finally, we will develop and deploy a Shiny app using Rstudio Connect, allowing interaction with the model and optimization results by non-modeling stakeholders.",Devin Pastoor // Kyle Baron,Metrum Research Group // Metrum Research Group,https://github.com/metrumresearchgroup/r-pharma-pkpd-2020,
